Age,y_pred
78.0,66.08393
89.0,79.67449
16.0,14.206863
87.0,69.11499
56.0,64.83195
30.0,39.846294
79.0,76.208466
29.0,34.185314
73.0,75.73566
63.0,20.501719
46.0,42.196255
29.0,25.633904
30.0,28.331278
24.0,35.06472
77.0,76.14387
46.0,48.034405
80.0,70.97347
54.0,57.790627
54.0,52.520214
48.0,50.451637
84.0,67.709526
64.0,71.35697
62.0,73.86749
73.0,74.04829
78.0,68.69684
34.0,47.59251
38.0,42.443
52.0,60.280807
16.0,14.918403
86.0,73.01321
68.0,59.767506
61.0,70.59494
10.0,17.482197
60.0,54.514267
46.0,52.30379
36.0,38.100872
57.0,57.95252
77.0,70.65549
34.0,40.726322
22.0,31.623123
34.0,51.0426
35.0,27.47307
77.0,82.40335
80.0,84.909
47.0,55.976025
30.0,41.781094
70.0,67.70917
23.0,34.036747
62.0,54.366863
12.0,20.458132
79.0,84.52252
6.0,21.234316
71.0,73.39983
47.0,47.56663
47.0,47.071335
63.0,65.92771
52.0,50.302937
26.0,32.594852
53.0,52.913998
58.0,61.255207
47.0,53.43546
56.0,64.56973
31.0,34.542976
69.0,76.12822
73.0,63.28853
76.0,69.71299
41.0,51.184498
7.0,22.152592
75.0,72.19113
50.0,69.69258
25.0,28.895563
70.0,75.41619
78.0,68.0882
84.0,81.63148
56.0,62.50592
39.0,43.479553
37.0,45.230556
63.0,62.32112
32.0,35.801716
72.0,75.68695
72.0,41.906773
71.0,73.14619
30.0,28.260798
11.0,13.359874
55.0,58.359634
64.0,55.585377
38.0,42.66171
43.0,42.27322
40.0,48.348843
6.0,14.219359
75.0,56.681522
44.0,50.58522
52.0,50.6888
86.0,76.18787
66.0,40.62772
62.0,63.54304
43.0,46.30149
25.0,24.532198
72.0,61.93662
4.0,7.118038
51.0,64.59317
47.0,74.02495
32.0,22.93553
17.0,19.489353
33.0,43.361027
11.0,15.677838
32.0,28.987684
61.0,67.47233
41.0,45.339146
45.0,44.63489
52.0,51.74352
36.0,37.397144
55.0,50.535587
61.0,65.23533
52.0,59.25535
81.0,72.646965
21.0,21.654633
34.0,33.319263
25.0,19.248835
67.0,69.30735
89.0,80.9105
38.0,37.93413
42.0,46.862743
71.0,71.97341
40.0,47.87849
56.0,42.5038
31.0,37.30721
46.0,50.726208
16.0,19.21631
59.0,51.058117
79.0,85.97942
59.0,61.43225
12.0,18.600863
61.0,68.91508
57.0,64.181564
61.0,58.315205
59.0,50.234562
73.0,72.20125
88.0,75.56146
28.0,38.135838
82.0,86.31765
80.0,80.26153
72.0,67.39579
23.0,19.680162
64.0,45.492805
21.0,17.730415
69.0,54.449596
87.0,79.20541
72.0,76.886505
49.0,35.318447
52.0,56.148106
42.0,47.06203
56.0,65.51767
39.0,47.051205
86.0,82.9714
60.0,62.66088
84.0,74.21731
25.0,33.371574
29.0,30.187841
56.0,45.461117
9.0,12.89932
24.0,23.841173
83.0,74.9129
63.0,69.20948
83.0,78.489655
73.0,79.70507
25.0,31.717867
39.0,43.30168
87.0,83.998505
73.0,67.85286
49.0,61.062374
20.0,17.847357
59.0,60.18943
35.0,27.782415
46.0,52.00064
53.0,60.8039
62.0,57.673695
60.0,57.298367
30.0,50.808178
53.0,47.873745
52.0,69.62881
32.0,36.227757
54.0,64.28818
63.0,63.628864
9.0,10.069219
56.0,55.053417
41.0,39.777
85.0,75.39277
54.0,65.42079
77.0,70.26432
48.0,63.36952
23.0,21.78616
57.0,54.601704
15.0,8.334706
44.0,26.510748
59.0,56.25429
62.0,61.964054
48.0,50.933662
19.0,15.689885
77.0,65.91807
59.0,41.497223
51.0,55.978645
39.0,22.43262
57.0,36.823166
19.0,21.54848
62.0,56.789158
53.0,61.78925
38.0,35.67013
51.0,50.632797
39.0,48.29454
65.0,72.03208
42.0,42.87412
84.0,72.16077
63.0,55.068287
68.0,81.87374
52.0,54.502323
84.0,71.672005
53.0,57.52365
18.0,17.977198
40.0,45.181965
67.0,65.850334
79.0,69.95447
81.0,74.03805
62.0,56.316402
53.0,59.448193
49.0,41.544094
19.0,17.436218
48.0,45.28191
44.0,51.89418
65.0,73.509056
9.0,12.27419
23.0,21.255713
81.0,69.99168
69.0,54.37403
42.0,51.08767
41.0,50.58109
37.0,49.269753
54.0,77.41587
60.0,59.266026
29.0,41.82501
63.0,55.437943
81.0,77.07943
55.0,66.52914
51.0,67.417274
62.0,53.927128
68.0,74.82075
58.0,60.27032
71.0,80.66622
49.0,55.177944
37.0,42.76522
52.0,51.717255
75.0,73.661995
19.0,20.190327
28.0,54.9366
18.0,11.667364
74.0,61.004414
19.0,12.601974
55.0,54.51631
72.0,71.29242
12.0,13.474849
39.0,43.359825
72.0,59.56103
46.0,36.946815
54.0,63.807182
28.0,30.003368
13.0,14.0146675
58.0,74.320656
74.0,78.49828
47.0,40.90995
64.0,66.725426
63.0,67.10499
37.0,31.486067
78.0,73.29388
48.0,42.233047
82.0,77.25782
17.0,13.244594
89.0,81.88172
71.0,67.1312
64.0,51.805706
61.0,66.189156
56.0,68.8859
85.0,76.61154
23.0,38.89217
55.0,58.383087
82.0,71.59471
52.0,44.22417
15.0,29.20516
52.0,46.55768
41.0,53.479626
55.0,52.773693
64.0,67.29286
74.0,70.127075
27.0,41.084473
47.0,51.22933
21.0,30.492987
55.0,60.18545
62.0,72.907364
19.0,15.312328
51.0,48.626545
53.0,58.026577
26.0,15.783766
70.0,75.43421
87.0,77.6956
79.0,43.86751
82.0,65.458824
28.0,38.618023
75.0,78.70253
56.0,69.602394
89.0,84.97564
47.0,53.63502
45.0,45.804913
19.0,23.560797
77.0,76.89111
69.0,51.68111
66.0,60.21572
21.0,51.245792
59.0,63.565586
72.0,62.496765
62.0,71.6738
84.0,68.596794
43.0,47.142857
58.0,54.671143
20.0,30.84108
43.0,58.966118
67.0,69.10003
54.0,61.65707
38.0,32.437584
65.0,68.33453
73.0,75.09762
73.0,58.29846
71.0,76.20898
19.0,67.93665
12.0,18.407158
74.0,75.602234
27.0,45.759754
43.0,27.198618
77.0,64.250854
48.0,62.703465
59.0,63.837635
59.0,58.31777
59.0,71.16317
81.0,83.95483
55.0,51.60815
30.0,47.623447
42.0,56.722095
69.0,63.5984
51.0,60.748337
13.0,21.07005
42.0,65.778984
56.0,52.394703
44.0,38.96654
53.0,63.945377
15.0,14.050718
31.0,30.413506
89.0,78.21738
77.0,85.83619
77.0,70.475395
78.0,57.0915
74.0,78.60773
32.0,34.449497
11.0,16.99668
65.0,74.36049
9.0,12.44319
51.0,47.500835
77.0,82.4157
54.0,50.699062
64.0,64.88371
55.0,58.33917
72.0,78.4536
62.0,57.96625
21.0,12.7741
39.0,33.436348
80.0,87.64979
47.0,53.980305
35.0,29.810211
30.0,29.516726
20.0,13.511283
71.0,70.14275
50.0,57.63258
45.0,52.1319
46.0,41.30391
44.0,38.53271
38.0,48.83452
51.0,38.76974
45.0,36.00529
16.0,20.211794
41.0,44.13296
84.0,84.2521
49.0,49.957226
35.0,30.687399
27.0,17.672766
70.0,73.367775
43.0,43.687603
11.0,9.289285
74.0,63.07689
71.0,72.89132
59.0,78.041885
71.0,83.18407
77.0,81.02079
83.0,79.81107
66.0,66.850075
55.0,50.08848
21.0,45.79524
31.0,37.266186
40.0,51.24643
9.0,9.649218
71.0,63.70291
82.0,78.69681
65.0,73.44016
65.0,69.400276
4.0,11.055387
54.0,59.669834
77.0,57.540592
43.0,40.616848
88.0,70.519966
48.0,59.630054
52.0,59.88441
39.0,36.875286
44.0,40.12676
39.0,41.44023
20.0,22.9532
33.0,31.167942
38.0,46.871212
